Ra*_key,Porosity,Perm,l,H,Tortuosity,Da,Re_N.D.,tau_f,kinVisc,C_f,ks/kf,kf/ks,kf/km,Pr_f,nu/alpha_m,Pr_e,Pr_p,Ra_f,Ra*,Ra*/Pr_p,Nu,Nu/Pr_p,Nu/(Ra* /40),delta_thermal,Lambda=delta/(r+l),Re_l,"Re_z,K",Re_K,E_kin_z,Epsilon_tot,Epsilon_th,Epsilon_kin,Std_tot,Std_th,Std_kin,DEpsTot,DEpsKin,DEpsTh,Osc
10000.0,0.38633,1.9629354,7.175144213,865.0,1.252,2.62e-06,0.245,0.505,0.0016666669999999,0.229,0.1,10.0,3.15,1.0,3.15,0.0223,8490.0,3810000000.0,31499.36614,3.709058126,74.6,0.00878,0.0947,12.4,0.333,3.86,0.531,0.753,63.9,8.03e-06,8.03e-06,1.46e-10,6.55e-05,6.55e-05,7.14e-10,0.123,0.204,0.123,268c89ff
20000.0,0.38633,1.9629354,7.175144213,865.0,1.252,2.62e-06,0.245,0.5025,0.000833333,0.229,0.1,10.0,3.15,1.0,3.15,0.0223,8490.0,7620000000.0,62998.73229,7.418116251,86.8,0.0102,0.0551,9.66,0.26,5.62,0.767,1.1,145.0,5.41e-06,5.41e-06,4.29e-11,4.6e-05,4.6e-05,2.06e-10,0.118,0.208,0.118,33ad7aff
40000.0,0.38633,1.9629354,7.175144213,865.0,1.252,2.62e-06,0.245,0.5025,0.000833333,0.229,0.1,10.0,3.15,1.0,3.15,0.0223,8490.0,15200000000.0,125997.4646,14.8362325,96.0,0.0113,0.0305,8.86,0.238,7.74,1.04,1.51,292.0,7.64e-06,7.64e-06,8.85e-11,6.15e-05,6.15e-05,4.33e-10,0.124,0.204,0.124,6cca59ff
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
