Ra*_key,Porosity,Perm,l,H,Tortuosity,Da,Re_N.D.,tau_f,kinVisc,C_f,ks/kf,kf/ks,kf/km,Pr_f,nu/alpha_m,Pr_e,Pr_p,Ra_f,Ra*,Ra*/Pr_p,Nu,Nu/Pr_p,Nu/(Ra* /40),delta_thermal,Lambda,Re_l,"Re_z,K",Re_K,E_kin_z,Epsilon_tot,Epsilon_th,Epsilon_kin,Std_tot,Std_th,Std_kin,DEpsTot,DEpsKin,DEpsTh,Osc
5000.0,0.325541,2.26199,8.572113831999998,1621.0,1.268,8.61e-07,0.149,0.505,0.0016666669999999,0.341,1.0,1.0,1.0,1.0,1.0,,,1920000000.0,1649.127174,0.0,10.8,0.0,0.0,,,,,,,,,,,,,,,,
10000.0,0.325541,2.26199,8.572113831999998,1621.0,1.268,8.61e-07,0.149,0.505,0.0016666669999999,0.341,1.0,1.0,1.0,1.0,1.0,,,3830000000.0,3298.254348,0.0,16.2,0.0,0.0,,,,,,,,,,,,,,,,
15000.0,0.325541,2.26199,8.572113831999998,1621.0,1.268,8.61e-07,0.149,0.505,0.0016666669999999,0.341,1.0,1.0,1.0,1.0,1.0,,,5750000000.0,4947.381522,0.0,18.5,0.0,0.0,,,,,,,,,,,,,,,,
20000.0,0.325541,2.26199,8.572113831999998,1621.0,1.268,8.61e-07,0.149,0.505,0.0016666669999999,0.341,1.0,1.0,1.0,1.0,1.0,,,7660000000.0,6596.508695,0.0,21.0,0.0,0.0,,,,,,,,,,,,,,,,
100.0,0.3317999999999999,0.62201748,4.346717088,829.0,1.268,9.05e-07,0.149,0.51,0.003333333,0.341,0.2,5.0,2.69,1.0,2.69,0.0075,8290.0,110000000.0,269.0022532,0.0324417879999999,6.26,0.000755,0.931,77.2,2.25,0.0872,0.0114,0.0158,0.0341,3.18e-06,3.18e-06,3.06e-12,7.38e-06,7.38e-06,1.7e-11,0.431,0.18,0.431,03a0ffff
300.0,0.3317999999999999,0.62201748,4.346717088,829.0,1.268,9.05e-07,0.149,0.51,0.003333333,0.341,0.2,5.0,2.69,1.0,2.69,0.0075,8290.0,331000000.0,807.0067595,0.0973253639999999,15.1,0.00182,0.747,40.3,1.17,0.254,0.0326,0.046,0.294,5.94e-06,5.94e-06,2.51e-11,2.71e-05,2.71e-05,1.42e-10,0.219,0.176,0.219,03a0ffff
500.0,0.3317999999999999,0.62201748,4.346717088,829.0,1.268,9.05e-07,0.149,0.51,0.003333333,0.341,0.2,5.0,2.69,1.0,2.69,0.0075,8290.0,552000000.0,1345.011266,0.16220894,29.8,0.00359,0.885,22.7,0.661,0.509,0.0673,0.0924,1.1,9.98e-06,9.98e-06,8.41e-11,5.69e-05,5.69e-05,4.07e-10,0.175,0.207,0.175,03a0ffff
750.0,0.3317999999999999,0.62201748,4.346717088,829.0,1.268,9.05e-07,0.149,0.51,0.003333333,0.341,0.2,5.0,2.69,1.0,2.69,0.0075,8290.0,829000000.0,2017.516899,0.243313409,12.8,0.00154,0.253,47.1,1.37,0.39,0.047,0.0708,0.618,4.44e-06,4.44e-06,5.44e-11,2.95e-05,2.95e-05,2.83e-10,0.15,0.192,0.15,44075aff
1000.0,0.3317999999999999,0.62201748,4.346717088,829.0,1.268,9.05e-07,0.149,0.505,0.0016666669999999,0.341,0.2,5.0,2.69,1.0,2.69,0.0075,8290.0,1100000000.0,2690.022532,0.324417879,18.3,0.00221,0.273,36.9,1.07,0.539,0.0645,0.0978,1.19,2.8e-06,2.8e-06,1.28e-11,1.83e-05,1.83e-05,6.52e-11,0.154,0.197,0.154,43226fff
2000.0,0.3317999999999999,0.62201748,4.346717088,829.0,1.268,9.05e-07,0.149,0.505,0.0016666669999999,0.341,0.2,5.0,2.69,1.0,2.69,0.0075,8290.0,2210000000.0,5380.045064,0.648835758,38.8,0.00468,0.288,18.1,0.527,1.07,0.133,0.195,2.69e-07,5.39e-06,5.39e-06,5.5e-11,3.68e-05,3.68e-05,3.19e-10,0.147,0.173,0.147,34608bff
3000.0,0.3317999999999999,0.62201748,4.346717088,829.0,1.268,9.05e-07,0.149,0.505,0.0016666669999999,0.341,0.2,5.0,2.69,1.0,2.69,0.0075,8290.0,3310000000.0,8070.067595,0.973253637,35.5,0.00428,0.176,19.6,0.571,1.28,0.153,0.232,7.27,4.93e-06,4.93e-06,7.68e-11,3.5e-05,3.5e-05,3.96e-10,0.141,0.194,0.141,297e8bff
5000.0,0.3317999999999999,0.62201748,4.346717088,829.0,1.268,9.05e-07,0.149,0.505,0.0016666669999999,0.341,0.2,5.0,2.69,1.0,2.69,0.0075,8290.0,5520000000.0,13450.11266,1.622089396,43.4,0.00524,0.129,15.9,0.463,1.78,0.217,0.322,14.8,6.48e-06,6.48e-06,1.53e-10,5.56e-05,5.56e-05,8.42e-10,0.117,0.182,0.117,22a287ff
10000.0,0.3317999999999999,0.62201748,4.346717088,829.0,1.268,9.05e-07,0.149,0.505,0.0016666669999999,0.341,0.2,5.0,2.69,1.0,2.69,0.0075,8290.0,11000000000.0,26900.22532,3.244178792,65.7,0.00793,0.0977,10.4,0.302,2.87,0.352,0.522,43.7,1.31e-05,1.31e-05,4.46e-10,0.000101,0.000101,2.58e-09,0.129,0.173,0.129,69c85bff
20000.0,0.3317999999999999,0.62201748,4.346717088,829.0,1.268,9.05e-07,0.149,0.5025,0.000833333,0.341,0.2,5.0,2.69,1.0,2.69,0.0075,8290.0,22100000000.0,53800.45063,6.488357583,78.7,0.00949,0.0585,9.51,0.277,4.14,0.507,0.751,95.7,1.16e-05,1.16e-05,1.26e-10,7.51e-05,7.51e-05,7.17e-10,0.155,0.175,0.155,69c85bff
100.0,0.3317999999999999,0.62201748,4.346717088,829.0,1.268,9.05e-07,0.149,0.51,0.003333333,0.341,0.1,10.0,3.68,1.0,3.68,0.0103,11300.0,110000000.0,368.0030824,0.0324417879999999,8.23,0.000725,0.894,69.2,2.02,0.0877,0.0115,0.0159,0.0342,3.97e-06,3.97e-06,3.07e-12,1.24e-05,1.24e-05,1.7e-11,0.321,0.18,0.321,03a0ffff
300.0,0.3317999999999999,0.62201748,4.346717088,829.0,1.268,9.05e-07,0.149,0.51,0.003333333,0.341,0.1,10.0,3.68,1.0,3.68,0.0103,11300.0,331000000.0,1104.009247,0.0973253639999999,22.2,0.00196,0.805,34.8,1.01,0.267,0.0343,0.0485,0.317,6.92e-06,6.92e-06,2.71e-11,4.3e-05,4.3e-05,1.49e-10,0.161,0.181,0.161,03a0ffff
500.0,0.3317999999999999,0.62201748,4.346717088,829.0,1.268,9.05e-07,0.149,0.51,0.003333333,0.341,0.1,10.0,3.68,1.0,3.68,0.0103,11300.0,552433636.1,1840.015412,0.16220894,41.7,0.00368,0.907,20.7,0.602,0.516,0.0682,0.0937,1.13,1.14e-05,1.14e-05,8.69e-11,6.88e-05,6.88e-05,4.2e-10,0.165,0.207,0.165,03a0ffff
750.0,0.3317999999999999,0.62201748,4.346717088,829.0,1.268,9.05e-07,0.149,0.51,0.003333333,0.341,0.1,10.0,3.68,1.0,3.68,0.0103,11300.0,828650454.1,2760.023118,0.243313409,27.9,0.00246,0.405,29.8,0.867,0.499,0.0616,0.0905,1.1,7.48e-06,7.48e-06,8.89e-11,4.31e-05,4.3e-05,4.9e-10,0.174,0.182,0.174,44085bff
1000.0,0.3317999999999999,0.62201748,4.346717088,829.0,1.268,9.05e-07,0.149,0.505,0.0016666669999999,0.341,0.1,10.0,3.68,1.0,3.68,0.0103,11300.0,1104867272.0,3680.030824,0.324417879,23.4,0.00206,0.254,36.7,1.07,0.523,0.0627,0.0948,1.13,2.85e-06,2.85e-06,1.21e-11,2.08e-05,2.08e-05,6.19e-11,0.137,0.195,0.137,441c6aff
2000.0,0.3317999999999999,0.62201748,4.346717088,829.0,1.268,9.05e-07,0.149,0.505,0.0016666669999999,0.341,0.1,10.0,3.68,1.0,3.68,0.0103,11300.0,2209734545.0,7360.061648,0.648835758,52.5,0.00463,0.286,17.7,0.515,1.07,0.133,0.194,2.68e-07,5.77e-06,5.77e-06,5.48e-11,4.04e-05,4.04e-05,3.18e-10,0.143,0.172,0.143,3a5e8cff
3000.0,0.3317999999999999,0.62201748,4.346717088,829.0,1.268,9.05e-07,0.149,0.505,0.0016666669999999,0.341,0.1,10.0,3.68,1.0,3.68,0.0103,11300.0,3314601817.0,11040.09247,0.973253637,48.2,0.00425,0.175,18.9,0.549,1.27,0.154,0.231,7.25,5.3e-06,5.3e-06,7.6e-11,3.52e-05,3.52e-05,3.99e-10,0.151,0.19,0.151,2b7a8cff
5000.0,0.3317999999999999,0.62201748,4.346717088,829.0,1.268,9.05e-07,0.149,0.505,0.0016666669999999,0.341,0.1,10.0,3.68,1.0,3.68,0.0103,11300.0,5524336361.0,18400.15412,1.622089396,60.1,0.0053,0.131,16.3,0.475,1.77,0.216,0.321,14.9,6.65e-06,6.65e-06,1.54e-10,5.12e-05,5.12e-05,8.54e-10,0.13,0.18,0.13,32a590ff
10000.0,0.3317999999999999,0.62201748,4.346717088,829.0,1.268,9.05e-07,0.149,0.505,0.0016666669999999,0.341,0.1,10.0,3.68,1.0,3.68,0.0103,11300.0,11048672722.0,36800.30824,3.244178792,90.1,0.00795,0.098,10.3,0.301,2.92,0.358,0.529,44.4,1.36e-05,1.36e-05,4.53e-10,8.56e-05,8.56e-05,2.61e-09,0.159,0.173,0.159,74cc65ff
20000.0,0.3317999999999999,0.62201748,4.346717088,829.0,1.268,9.05e-07,0.149,0.5025,0.000833333,0.341,0.1,10.0,3.68,1.0,3.68,0.0103,11300.0,22097345443.0,73600.61647999998,6.488357583,110.0,0.0097,0.0598,8.72,0.254,4.24,0.52,0.769,99.5,1.36e-05,1.36e-05,1.32e-10,8.85e-05,8.85e-05,7.37e-10,0.154,0.179,0.154,eee42aff
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
